station_start,station_end,distance_meters
chicago108,chicago231,16290
chicago108,chicago232,14112
chicago108,chicago233,1851
chicago108,chicago234,10605
chicago108,chicago236,4903
chicago108,chicago237,5854
chicago108,chicago238,11846
chicago108,chicago239,12279
chicago108,chicago24,4625
chicago108,chicago240,10083
chicago108,chicago241,699
chicago108,chicago242,12048
chicago108,chicago243,11650
chicago108,chicago244,10162
chicago108,chicago245,15737
chicago108,chicago246,10420
chicago108,chicago247,12963
chicago108,chicago248,14325
chicago108,chicago249,16177
chicago108,chicago25,4996
chicago108,chicago250,9280
chicago108,chicago251,16560
chicago108,chicago252,11935
chicago108,chicago253,17371
chicago108,chicago254,14989
chicago108,chicago255,2832
chicago108,chicago256,15346
chicago108,chicago257,9555
chicago108,chicago258,8266
chicago108,chicago259,7787
chicago108,chicago26,4735
chicago108,chicago260,9031
chicago108,chicago261,2579
chicago108,chicago262,5170
chicago108,chicago263,7592
chicago108,chicago264,6763
chicago108,chicago265,9823
chicago108,chicago267,11381
chicago108,chicago268,9372
chicago108,chicago27,4783
chicago108,chicago271,10477
chicago108,chicago272,6159
chicago108,chicago273,3674
chicago108,chicago274,2144
chicago108,chicago275,2500
chicago108,chicago276,8144
chicago108,chicago277,3856
chicago108,chicago278,5169
chicago108,chicago279,4835
chicago108,chicago28,5291
chicago108,chicago280,4361
chicago108,chicago281,5929
chicago108,chicago282,983
chicago108,chicago283,2073
chicago108,chicago284,2766
chicago108,chicago285,4518
chicago108,chicago286,1910
chicago108,chicago287,2141
chicago108,chicago288,5719
chicago108,chicago289,5728
chicago108,chicago29,4164
chicago108,chicago290,8942
chicago108,chicago291,5096
chicago108,chicago292,10140
chicago108,chicago293,16963
chicago108,chicago294,18257
chicago108,chicago295,17845
chicago108,chicago296,13520
chicago108,chicago297,11048
chicago108,chicago298,10894
chicago108,chicago299,9731
chicago108,chicago30,4495
chicago108,chicago300,8813
chicago108,chicago301,5506
chicago108,chicago302,6636
chicago108,chicago303,14078
chicago108,chicago304,10330
chicago108,chicago305,6599
chicago108,chicago306,15808
chicago108,chicago307,6126
chicago108,chicago308,9515
chicago108,chicago309,6980
chicago108,chicago31,3892
chicago108,chicago310,6823
chicago108,chicago311,12063
chicago108,chicago312,15499
chicago108,chicago313,7509
chicago108,chicago314,11454
chicago108,chicago315,6154
chicago108,chicago316,11644
chicago108,chicago317,2417
chicago108,chicago318,9816
chicago108,chicago319,7506
chicago108,chicago32,1467
chicago108,chicago320,1763
chicago108,chicago321,2963
chicago108,chicago322,13461
chicago108,chicago323,17065
chicago108,chicago324,8105
chicago108,chicago325,11945
chicago108,chicago326,11237
chicago108,chicago327,5877
chicago108,chicago328,15662
chicago108,chicago329,12346
chicago108,chicago33,2864
chicago108,chicago330,9197
chicago108,chicago331,4246
chicago108,chicago332,6985
chicago108,chicago333,5047
chicago108,chicago334,13209
chicago108,chicago335,7061
chicago108,chicago336,12550
chicago108,chicago337,4263
chicago108,chicago338,4035
chicago108,chicago339,4019
chicago108,chicago34,11405
chicago108,chicago340,7873
chicago108,chicago341,4480
chicago108,chicago342,2870
chicago108,chicago343,6867
chicago108,chicago344,12497
chicago108,chicago345,13812
chicago108,chicago346,2840
chicago108,chicago347,9746
chicago108,chicago348,5734
chicago108,chicago349,6514
chicago108,chicago35,6339
chicago108,chicago350,4511
chicago108,chicago351,10968
chicago108,chicago36,2284
chicago108,chicago37,2473
chicago108,chicago42,4024
chicago108,chicago43,3495
chicago108,chicago44,3233
chicago108,chicago45,2948
chicago108,chicago46,4363
chicago108,chicago47,3688
chicago108,chicago48,3396
chicago108,chicago49,2647
chicago108,chicago5,2098
chicago108,chicago50,2419
chicago108,chicago51,3198
chicago108,chicago52,3582
chicago108,chicago53,3716
chicago108,chicago54,3304
chicago108,chicago55,1005
chicago108,chicago56,2269
chicago108,chicago57,1185
chicago108,chicago58,6697
chicago108,chicago59,2473
chicago108,chicago60,4534
chicago108,chicago61,5247
chicago108,chicago62,4739
chicago108,chicago66,2412
