availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
8,11,Chicago ,,,-87.625813,,,Not In Service,False,State St & 33rd St,State St & 33rd St,216,41.834734,3,3,148,
8,11,Chicago ,,,-87.61793,,,Not In Service,False,Calumet Ave & 33rd St,Calumet Ave & 33rd St,217,41.8349,3,3,149,
6,11,Chicago ,,,-87.608218,,,Not In Service,False,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,220,41.838556,3,5,150,
11,15,Chicago ,,,-87.658617,,,Not In Service,False,Lincoln Ave & Diversey Pkwy,Lincoln Ave & Diversey Pkwy,226,41.932225,3,4,152,
16,19,Chicago ,,,-87.6637,,,Not In Service,False,Southport Ave & Wellington Ave,Southport Ave & Wellington Ave,228,41.93584,3,3,153,
13,15,Chicago ,,,-87.66378,,,Not In Service,False,Southport Ave & Belmont Ave,Southport Ave & Belmont Ave,229,41.93949,3,2,154,
10,15,Chicago ,,,-87.6475386582,,,Not In Service,False,Clark St & Wellington Ave,Clark St & Wellington Ave,232,41.9364968219,3,5,156,
11,15,Chicago ,,,-87.636794,,,Not In Service,False,Lake Shore Dr & Wellington Ave,Lake Shore Dr & Wellington Ave,234,41.936669,3,4,157,
11,15,Chicago ,,,-87.681391,,,Not In Service,False,Milwaukee Ave & Wabansia Ave,Milwaukee Ave & Wabansia Ave,243,41.912616,3,4,158,
7,11,Chicago,,,-87.685854,,,Not In Service,False,1451 N Claremont Ave,Claremont Ave & Hirsch St,245,41.907781,3,4,159,
11,15,Chicago,,,-87.689556,,,Not In Service,False,Campbell Ave & North Ave,Campbell Ave & North Ave,257,41.910535,3,4,160,
10,15,Chicago,,,-87.67842,,,Not In Service,False,Damen Ave & Wellington Ave,Damen Ave & Wellington Ave,268,41.93588,3,5,162,
14,15,Chicago,,,-87.67079,,,Not In Service,False,Paulina St & Diversey Pkwy,Paulina St & Diversey Pkwy,271,41.93186,3,1,163,
14,23,Chicago,,,-87.6355,,,Not In Service,False,Franklin St & Lake St,Franklin St & Lake St,272,41.885837,3,9,164,
13,19,Chicago,,,-87.65775,,,Not In Service,False,Clark St & Waveland Ave,Clark St & Waveland Ave,275,41.94893,3,6,165,
8,15,Chicago ,,,-87.668507,,,Not In Service,False,Ashland Ave & Wrightwood Ave,Ashland Ave & Wrightwood Ave,296,41.92883,3,7,166,
9,11,Chicago ,,,-87.67564,,,Not In Service,False,Damen Ave & Coulter St,Damen Ave & Coulter St,306,41.8492,3,2,167,
15,19,Chicago ,,,-87.623727,,,Not In Service,False,Michigan Ave & 14th St,Michigan Ave & 14th St,310,41.864059,3,4,168,
10,15,Chicago ,,,-87.639566,,,Not In Service,False,Canal St & Harrison St,Canal St & Harrison St,326,41.874337,3,5,169,
14,15,,,,-87.640826,,,Not In Service,False,Clinton St & 18th St,Clinton St & 18th St,329,41.85795,3,1,170,
7,11,Chicago ,,,-87.654127,,,Not In Service,False,May St & Cullerton St,May St & Cullerton St,331,41.855136,3,4,171,
8,15,Chicago ,,,-87.621743,,,Not In Service,False,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,338,41.89691,3,7,173,
18,23,Chicago ,,,-87.639833,,,Not In Service,False,Canal St & Madison St,Canal St & Madison St,341,41.882091,3,5,174,
16,19,Chicago ,,,-87.633523,,,Not In Service,False,Wells St & Polk St,Wells St & Polk St,344,41.872373,3,3,175,
14,19,Chicago ,,,-87.631253,,,Not In Service,False,Clark St & Elm St,Clark St & Elm St,349,41.903233,3,5,176,
6,15,Chicago ,,,-87.630834,,,Not In Service,False,Theater on the Lake,Theater on the Lake,350 ,41.926277,3,9,177,
9,15,Chicago ,,,-87.627542,,,Not In Service,False,State St & 19th St,State St & 19th St,408,41.856594,3,6,178,
11,15,Chicago,,,-87.61615,,,Not In Service,False,Martin Luther King Dr & Oakwood Blvd,Martin Luther King Dr & Oakwood Blvd,420,41.82256,3,4,179,Off Steet
15,19,Chicago,,,-87.63206,,,Not In Service,False,LaSalle St & Illinois St,LaSalle St & Illinois St,430,41.890749,3,4,181,On Street
15,15,Chicago,,,-87.677234,,,Not In Service,False,Damen Ave & Augusta Blvd,Damen Ave & Augusta Blvd,142,41.899714,3,0,183,
17,19,Chicago,,W. 35th St,-87.62688,,,Not In Service,False,State St & 35th St,State St & 35th St,082,41.83104,3,2,184,
6,11,Chicago,,,-87.691392,,,Not In Service,False,Stave St & Armitage Ave,Stave St & Armitage Ave,266,41.917741,3,5,185,
11,15,Chicago,,,-87.658751,,,Not In Service,False,Ogden Ave & Race Ave,Ogden Ave & Race Ave,194,41.891795,3,4,186,
9,15,,,,-87.6658,,,Not In Service,False,Greenview Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,295,41.92533,3,6,188,
7,15,Chicago,,,-87.66317,,,Not In Service,False,Southport Ave & Wrightwood Ave,Southport Ave & Wrightwood Ave,298,41.92888,3,8,190,
10,23,Chicago,,,-87.63947,,,Not In Service,False,Canal St & Monroe St,Canal St & Monroe St,056,41.8807,3,13,191,
11,27,Chicago,,,-87.640015,,,Not In Service,False,Canal St & Adams St,Canal St & Adams St,011,41.87923,3,16,192,
10,15,Chicago,,,-87.626938,,,Not In Service,False,State St & 29th St,State St & 29th St,213,41.841707,3,5,193,
6,11,Chicago,,,-87.62775,,,Not In Service,False,State St & Wacker Dr,State St & Wacker Dr,339,41.887155,3,5,194,
22,23,Chicago,,,-87.62077,,,Not In Service,False,Columbus Dr & Randolph St,Columbus Dr & Randolph St,263,41.8853,3,1,195,
9,19,Chicago,,,-87.621994,,,Not In Service,False,Cityfront Plaza & N Water St,Cityfront Plaza & N Water St,427,41.889875,3,10,196,Off Street
13,19,Chicago,,,-87.625125,,,Not In Service,False,Michigan Ave & Madison St,Michigan Ave & Madison St,036,41.882134,3,6,197,
13,19,Chicago,,,-87.6478,,,Not In Service,False,Halsted St & Madison St,Halsted St & Madison St,159,41.88175,3,6,198,
12,15,Chicago,,,-87.626937,,,Not In Service,False,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,004,41.891738,3,3,199,
7,11,Chicago,,,-87.616279,,,Not In Service,False,King Dr & 47th St,King Dr & 47th St,090,41.809851,3,4,200,
13,15,Chicago,,,-87.6216,,,Not In Service,False,Indiana Ave & 40th St,Indiana Ave & 40th St,083,41.82168,3,2,201,
9,15,Chicago,,,-87.646277,,,Not In Service,False,Halsted St & 18th St,Halsted St & 18th St,099,41.857499,3,6,202,
13,15,Chicago,,,-87.685243,,,Not In Service,False,Western Ave & 21st St,Western Ave & 21st St,091,41.85394,3,2,203,
12,15,Chicago,,,-87.61936,,,Not In Service,False,Prairie Ave & Garfield Blvd,Prairie Ave & Garfield Blvd,101,41.7951,3,3,204,
11,15,Chicago,,,-87.668745,,,Not In Service,False,Paulina St & 18th St,Paulina St & 18th St,088,41.857901,3,4,205,
7,15,Chicago,,,-87.646795,,,Not In Service,False,Halsted St & Archer Ave,Halsted St & Archer Ave,098,41.847203,3,8,206,
11,15,Chicago,,,-87.645368,,,Not In Service,False,Emerald Ave & 28th St,Emerald Ave & 28th St,399,41.84358,3,4,207,
12,15,Chicago,,,-87.665897,,,Not In Service,False,Ashland Ave & 21st St,Ashland Ave & 21st St,307,41.85381,3,3,208,
10,11,Chicago,,,-87.640591,,,Not In Service,False,Normal Ave & Archer Ave,Normal Ave & Archer Ave,308,41.849527,3,1,209,
9,19,Chicago,,,-87.66777,,,Not In Service,False,Ashland Ave & Division St,Ashland Ave & Division St,061,41.903456,3,10,210,
12,19,Chicago,,,-87.622663,,,Not In Service,False,St Clair St & Erie St,St Clair St & Erie St,016,41.894448,3,6,211,
8,19,Chicago,,,-87.633985,,,Not In Service,False,Wells St & Ohio St,Wells St & Ohio St,264,41.892238,3,11,212,
8,11,Chicago,,,-87.6824,,,Not In Service,False,Leavitt St & North Ave,Leavitt St & North Ave,244,41.910652,3,3,213,
14,15,Chicago,,,-87.67686,,,Not In Service,False,Damen Ave & Grand Ave,Damen Ave & Grand Ave,141,41.89122,3,1,214,
10,15,Chicago,,,-87.67493,,,Not In Service,False,Damen Ave & Madison St,Damen Ave & Madison St,134,41.88137,3,5,215,
11,15,Chicago,,,-87.697474,,,Not In Service,False,California Ave & Division St,California Ave & Division St,256,41.903029,3,4,216,
9,15,Chicago,,,-87.656001,,,Not In Service,False,May St & Fulton St,May St & Fulton St,197,41.886773,3,6,217,
6,11,Chicago,,,-87.633879,,,Not In Service,False,Wells St & 19th St,Wells St & 19th St,180,41.856802,3,5,218,
10,11,Chicago,,,-87.677411,,,Not In Service,False,Damen Ave & Cortland Ave,Damen Ave & Cortland Ave,133,41.916027,3,1,219,
6,19,Chicago,,,-87.642385,,,Not In Service,False,Hampden Ct & Diversey Pkwy,Hampden Ct & Diversey Pkwy,123,41.93262,3,13,220,
17,19,Chicago,,,-87.693033,,,Not In Service,False,Milwaukee Ave & Rockwell St,Milwaukee Ave & Rockwell St,242,41.920195,3,2,222,
8,15,Chicago,,,-87.656936,,,Not In Service,False,Clifton Ave & Armitage Ave,Clifton Ave & Armitage Ave,185,41.918216,3,7,223,
14,19,Chicago,,,-87.64884,,,Not In Service,False,Halsted St & Willow St,Halsted St & Willow St,181,41.913778,3,5,224,
9,15,Chicago,,,-87.64883,,,Not In Service,False,Halsted St & Dickens Ave,Halsted St & Dickens Ave,192,41.919936,3,6,225,
10,15,Chicago,,,-87.65893,,,Not In Service,False,Racine Ave & Belmont Ave,Racine Ave & Belmont Ave,230,41.93979,3,5,226,
12,15,Chicago,,,-87.66394,,,Not In Service,False,Southport Ave & Waveland Ave,Southport Ave & Waveland Ave,235,41.94815,3,3,227,
3,11,Chicago,,,-87.6785,,,Not In Service,False,Damen Ave & Melrose Ave,Damen Ave & Melrose Ave,143,41.9406,3,8,228,
10,19,Chicago,,,-87.66402,,,Not In Service,False,Southport Ave & Roscoe St,Southport Ave & Roscoe St,071,41.943739,3,9,229,
11,19,Chicago,,,-87.67097,,,Not In Service,False,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,078,41.94334,3,8,230,
10,15,Chicago,,,-87.65464,,,Not In Service,False,Sheridan Rd & Montrose Ave,Sheridan Rd & Montrose Ave,130,41.96167,3,5,231,
10,15,Chicago,,,-87.645416,,,Not In Service,False,Pine Grove Ave & Addison St,Pine Grove Ave & Addison St,273,41.947836,3,5,232,
13,15,Chicago,,,-87.651148,,,Not In Service,False,Sangamon St & Washington Blvd,Sangamon St & Washington Blvd,409,41.883004,3,2,233,
17,19,Chicago,,,-87.666036,,,Not In Service,False,Clark St & Montrose Ave,Clark St & Montrose Ave,316,41.961588,3,2,234,
9,15,Chicago,,,-87.638517,,,Not In Service,False,Sedgwick St & Schiller St,Sedgwick St & Schiller St,410,41.907576,3,6,236,
10,15,Chicago,,,-87.617,,,Not In Service,False,MLK Jr Dr & 29th St,Martin Luther King Dr & 29th St,214,41.842052,3,5,237,
9,15,Chicago,,,-87.674101,,,Not In Service,False,Ravenswood Ave & Montrose Ave,Ravenswood Ave & Montrose Ave,092,41.961626,3,6,238,
12,15,Chicago,,,-87.688487,,,Not In Service,False,Western Ave & Leland Ave,Western Ave & Leland Ave,112,41.966555,3,3,239,
10,11,Chicago,,,-87.654601,,,Not In Service,False,Sheridan Rd & Irving Park Rd,Sheridan Rd & Irving Park Rd,063,41.95434,3,1,240,
11,15,Chicago ,,,-87.65103,,,Not In Service,False,Morgan St & Polk St,Morgan St & Polk St,168,41.871737,3,4,241,
9,15,Chicago ,,,-87.679028,,,Not In Service,False,Damen Ave & Leland Ave,Damen Ave & Leland Ave,093,41.967094,3,6,242,
9,15,Chicago ,,,-87.684146,,,Not In Service,False,Lincoln Ave & Leavitt St,Lincoln Ave & Leavitt St,126,41.962391,3,6,243,
12,19,Chicago,,,-87.67393,,,Not In Service,False,Ravenswood Ave & Irving Park Rd,Ravenswood Ave & Irving Park Rd,087,41.95469,3,7,244,
7,15,Chicago,,,-87.649603,,,Not In Service,False,Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,389,41.961004,3,8,245,
5,11,Chicago,,,-87.668869,,,Not In Service,False,Ashland Ave & Belle Plaine Ave,Ashland Ave & Belle Plaine Ave,249,41.956061,3,6,246,
11,15,Chicago,,,-87.580715,,,Not In Service,False,Shore Drive & 55th St,Shore Drive & 55th St,361,41.795212,3,4,247,
13,15,Chicago,,,-87.596471,,,Not In Service,False,Woodlawn Ave & 55th St,Woodlawn Ave & 55th St,362,41.795264,3,2,248,
9,15,Chicago,,,-87.638181,,,Not In Service,False,Montrose Harbor,Montrose Harbor,388,41.963982,3,6,249,
15,19,Chicago,,,-87.669807,,,Not In Service,False,Ashland Ave & Wellington Ave,Ashland Ave & Wellington Ave,269,41.936083,3,4,250,
8,15,Chicago,,,-87.650001,,,Not In Service,False,Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,385,41.967968,3,7,251,
10,15,Chicago,,,-87.599383,,,Not In Service,False,Greenwood Ave & 47th St,Greenwood Ave & 47th St,396,41.809835,3,5,252,
11,15,Chicago,,,-87.658857,,,Not In Service,False,Clifton Ave & Lawrence Ave,Clifton Ave & Lawrence Ave,104,41.968873,3,4,253,
9,15,Chicago,,,-87.648043,,,Not In Service,False,Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,324,41.954383,3,6,254,
19,31,Chicago,,,-87.623041,,,Not In Service,False,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,309,41.867888,3,12,255,
9,15,Chicago,,,-87.649993,,,Not In Service,False,Broadway & Sheridan Rd,Broadway & Sheridan Rd,323,41.952833,3,6,256,
12,15,Chicago,,,-87.675112,,,Not In Service,False,Lincoln Ave & Waveland Ave,Lincoln Ave & Waveland Ave,253,41.94911,3,3,257,
17,19,Chicago,,,-87.685126,,,Not In Service,False,Logan Blvd & Elston Ave,Logan Blvd & Elston Ave,145,41.930584,3,2,258,
12,15,Chicago,,,-87.69723,,,Not In Service,False,California Ave & Francis Pl,California Ave & Francis Pl,259,41.91855,3,3,259,
13,19,Chicago,,,-87.707857,,,Not In Service,False,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,085,41.929567,3,6,260,
10,15,Chicago,,,-87.669886,,,Not In Service,False,Hermitage Ave & Polk St,Hermitage Ave & Polk St,080,41.871514,3,5,261,
9,11,Chicago,,,-87.645801,,,Not In Service,False,Halsted St & 37th St,Halsted St & 37th St,414,41.827071,3,2,262,On Street
8,11,Chicago,,,-87.613533,,,Not In Service,False,Rhodes Ave & 32nd St,Rhodes Ave & 32nd St,215,41.836208,3,3,263,
